Brand,Model Name,Processor,Operating System,Storage,RAM,Screen Size,Touch_Screen,Price
ASUS,X1502ZA-EJ953WS,Core i3,Windows 11 Home,1 TB,8 GB,39.62 cm (15.6 Inch),False,36990
HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),False,66999
HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,49990
ASUS,Vivobook 15,Core i3,Windows 11 Home,2 TB,8 GB,39.62 cm (15.6 inch),False,43534
CHUWI,Hero Book Pro,Celeron Dual Core,Windows 11 Home,256 GB,8 GB,35.81 cm (14.1 inch),False,18990
Lenovo,V15 G3 IAP,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,32840
ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),False,77990
HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),False,54990
ASUS,E1504FA-NJ322WS,Ryzen 3 Quad Core,Windows 11 Home,1 TB,8 GB,39.62 cm (15.6 Inch),False,33990
HP,15-eg3079TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),False,66990
HP,15s-fq5202TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),False,53990
DELL,New Inspiron 15 Laptop,Core i5,Windows 11 Home,1 TB,8 GB,39.62 cm (15.6 Inch),False,49990
Lenovo,16IAH8,Core i5,Windows 11 Home,512 GB,16 GB,40.64 cm (16 Inch),False,61190
Apple,MacBook Pro,M2,Mac OS Monterey,256 GB,8 GB,33.78 cm (13.3 Inch),False,99990
SAMSUNG,Galaxy Book3,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,69990
HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,37990
HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,46990
Lenovo,15ACH6,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,8 GB,100.63 cm (39.62 cm),False,45990
HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,40490
HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),False,53990
HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),False,66999
Acer,A315-510P,Core i3,Windows 11 Home,256 GB,8 GB,39.62 cm (15.6 inch),False,29980
Infinix,INBook Y1 Plus,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),False,25990
ASUS,X1502ZA-EJ515WS,Core i5,Windows 11 Home,1 TB,8 GB,39.62 cm (15.6 Inch),False,47990
HP,15-eg3079TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),False,66990
HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,49990
ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),False,77990
ASUS,TN3402QA-LZ740WS,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 Inch),True,64990
HP,15s- eq2144au,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),False,43490
HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),False,54990
HP,15s-fq5202TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),False,53990
ASUS,E1504FA-LK521WS,Ryzen 5 Quad Core,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,45990
ASUS,E1404GA-NK322WS,Core i3,Windows 11 Home,512 GB,8 GB,35.56 cm (14 Inch),False,35990
Infinix,INBook Y2 Plus,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),False,34990
HP,15-fe0027TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),True,88690
HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,38990
HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,37990
Acer,A514-56GM,Core i5,Windows 11 Home,512 GB,16 GB,35.56 cm (14 Inch),False,56990
Acer,AN515-58,Core i7,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),False,86990
HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,46990
HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),False,53990
MSI,Modern 14 C11M-030IN,Core i5,Windows 11 Home,512 GB,8 GB,35.56 cm (14 Inch),False,36990
ASUS,Vivobook 16X,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,40.64 cm (16 inch),False,57390
Infinix,XL30,Celeron Quad Core,Windows 11 Home,512 GB,8 GB,39.01 cm (15.36 inch),False,23990
HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),False,54990
HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),False,66999
HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,49990
DELL,Inspiron 3511,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),False,45990
ASUS,X515EA-EJ312W,Core i3,Windows 11 Home,2 TB,8 GB,39.62 cm (15.6 Inch),False,27990
ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),False,77990
HP,15-eg3079TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),False,66990
HP,15s- eq1580AU,Ryzen 3 Dual Core,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,30999
HP,15-fb0131AX,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,58800
HP,14s - dy2508TU,Core i3,Windows 11 Home,512 GB,8 GB,35.56 cm (14 inch),False,43349
HP,15-fd0011TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,60490
HP,14c-cc0010TU,Core i5,Chrome,256 GB,8 GB,35.56 cm (14 inch),False,62990
HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,37990
HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,46990
MSI,Modern 14 C7M-062IN,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 Inch),False,37990
HP,15s-ey1509AU,Athlon Dual Core,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,30690
HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,38990
HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),False,53990
Apple,MacBook Air,M2,Mac OS Monterey,256 GB,8 GB,34.54 cm (13.6 Inch),False,104990
HP,255 G8 Laptop,Ryzen 3 Dual Core,DOS,512 GB,8 GB,39.62 cm (15.6 inch),False,23999
HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),False,66999
HP,14c-cc0010TU,Core i5,Chrome,256 GB,8 GB,35.56 cm (14 inch),False,62990
ASUS,E1504FA-LK321WS,Ryzen 3 Quad Core,Windows 11 Home,1 TB,8 GB,39.62 cm (15.6 Inch),False,39990
Lenovo,V15 G2 ALC,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,34990
ASUS,E1504FA-LK323WS,Ryzen 3 Quad Core,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,39990
ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),False,77990
HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),False,54990
HP,15s-fy5006TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,37990
HP,14s - dy2507TU,Core i3,Windows 11 Home,256 GB,8 GB,35.56 cm (14 inch),False,35990
HP,15-eg3079TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),False,66990
HP,15-fd0011TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,60490
HP,15s-fq5202TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),False,53990
Lenovo,15IRU8,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),False,44990
HP,14-dv2014TU,Core i5,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),False,63999
ASUS,UP5401ZA-KU541WS,Core i5,Windows 11 Home,512 GB,16 GB,35.56 cm (14 Inch),True,76990
HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,38990
HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,37990
WINGS,WL-Nuvobook V1-GRN,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,27990
HP,14a-ca0504TU,Celeron Quad Core,Chrome,64 GB,4 GB,35.56 cm (14 Inch),True,24500
HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,46990
HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),False,53990
Lenovo,15APH8,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),False,101990
Ultimus,NU14U3INF56BN-SG,Core i5,Windows 11 Home,512 GB,8 GB,35.81 cm (14.1 Inch),True,19990
ASUS,FX506HF-HN026W,Core i5,Windows 11 Home,1 TB,8 GB,39.62 cm (15.6 Inch),False,55990
Infinix,ZL513,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),False,48990
HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),False,66999
HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,49990
Infinix,XL28,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),False,29990
CHUWI,FreeBook,Core i3,Windows 11 Home,512 GB,12 GB,34.29 cm (13.5 inch),True,33990
ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),False,77990
HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),False,54990
MSI,Thin GF63 12VF-663IN,Core i7,Windows 11 Home,2 TB,16 GB,39.62 cm (15.6 Inch),False,79990
ASUS,X415EA-EK344WS,Core i3,Windows 11 Home,512 GB,16 GB,35.56 cm (14 Inch),False,35990
Acer,Aspire 3,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),False,44990
HP,15-eg3079TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),False,66990
HP,15s-fq5202TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),False,53990
ASUS,M1605YA-MB551WS,Ryzen 5 Hexa Core,Windows 11 Home,1 TB,16 GB,40.64 cm (16 Inch),False,53990
Lenovo,15ARH7,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),False,56990
HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,37990
HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),False,66999
MSI,Thin GF63 12VF-268IN,Core i5,Windows 11 Home,2 TB,16 GB,39.62 cm (15.6 Inch),False,74990
ASUS,X1605VAB-MB544WS,Core i5,Windows 11 Home,512 GB,16 GB,40.64 cm (16 Inch),False,60990
HP,15s-fq5112TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),False,57990
HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),False,53990
HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,38990
HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,49990
ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),False,77990
HP,15-fd0024TU,Core i7,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),False,79590
Lenovo,15IHU6,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),False,50990
HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),False,54990
HP,15-eg3079TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),False,66990
Infinix,INBook X1 Neo,Celeron Quad Core,Windows 11 Home,256 GB,8 GB,35.56 cm (14 inch),False,24990
Lenovo,15ARH7,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),False,67890
HP,15s-fq5202TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),False,53990
HP,15-fd0011TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,60490
DELL,Inspiron 3511,Core i3,Windows 11 Home,512 GB,8 GB,96.52 cm (38 cm),False,36990
HP,HP Pavilion 15,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,8 GB,38.1 cm (15 inch),False,50990
Lenovo,15IRU8,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),False,44990
MSI,GF63 Thin 11UCX-1496IN,Core i5,Windows 11 Home,4 TB,16 GB,39.62 cm (15.6 Inch),False,50990
HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,38990
ASUS,X1605VAB-MB544WS,Core i5,Windows 11 Home,512 GB,16 GB,40.64 cm (16 Inch),False,60990
HP,15-fb0135AX,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,57990
HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,37990
HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,46990
ASUS,M1605YA-MB551WS,Ryzen 5 Hexa Core,Windows 11 Home,1 TB,16 GB,40.64 cm (16 Inch),False,53990
ASUS,X1504ZA-NJ521WS,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,47990
HP,15-fe0027TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),True,88690
ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),False,77990
HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),False,53990
HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),False,66999
MSI,Thin GF63 12VF-268IN,Core i5,Windows 11 Home,2 TB,16 GB,39.62 cm (15.6 Inch),False,74990
Infinix,XL30,Celeron Quad Core,Windows 11 Home,512 GB,8 GB,39.01 cm (15.36 inch),False,23990
HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,49990
HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),False,54990
ASUS,TN3402QA-LZ520WS,Ryzen 5 Hexa Core,Windows 11 Home,1 TB,8 GB,35.56 cm (14 inch),True,58990
DELL,Inspiron 3511,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),True,43990
SAMSUNG,Galaxy Book3,Core i7,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),False,89990
HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,38990
HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,37990
HP,15s-fy5007TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,52990
ASUS,M1502QA-EJ741WS,Ryzen 7 Octa Core,Windows 11 Home,1 TB,16 GB,39.62 cm (15.6 Inch),False,49990
HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,46990
HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),False,53990
SAMSUNG,Galaxy Book3,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),False,74990
DELL,Vostro,Core i3,Windows 10,256 GB,8 GB,38.0 cm (14.96 Inch),False,34990
Infinix,INBook X2 Plus Core i7,Core i7,Windows 11 Home,1 TB,16 GB,39.62 cm (15.6 inch),False,40990
ASUS,E1404FA-NK321WS,Ryzen 3 Quad Core,Windows 11 Home,512 GB,8 GB,35.81 cm (14.1 inch),False,34499
HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),False,66999
HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,49990
Infinix,INBook Y2 Plus,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),False,27490
DELL,Inspiron 3520,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,53480
HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,38990
HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,37990
HP,13b-ca0006MU,MediaTek Kompanio 1200,Chrome,256 GB,8 GB,33.78 cm (13.3 Inch),False,35990
ASUS,GA401QE-K2166TS,Ryzen 9 Octa Core,Windows 10 Home,1 TB,16 GB,35.56 cm (14 Inch),False,89990
HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,46990
HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),False,53990
WINGS,WL-Nuvobook V1-BLU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,27990
Lenovo,V15 G4,Ryzen 3 Quad Core,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,29800
ASUS,E510MA-EJ011WS,Celeron Dual Core,Windows 11 Home,1 TB,8 GB,39.62 cm (15.6 Inch),False,24990
HP,15-fb0137AX,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),False,66990
HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),False,66999
HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,49990
Infinix,INBook X2 Plus Core i7,Core i7,Windows 11 Home,1 TB,16 GB,39.62 cm (15.6 inch),False,40990
HP,14s-fy1003AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),False,45490
ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),False,77990
HP,Notebook,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),False,50999
HP,15a- na0012TU,Celeron Dual Core,Chrome,128 GB,4 GB,39.62 cm (15.6 Inch),False,22100
Lenovo,Lenovo V15,Celeron Dual Core,DOS,256 GB,8 GB,39.62 cm (15.6 inch),False,21990
ASUS,M6500QFB-LK742WS,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),False,67990
HP,15-eg3079TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),False,66990
HP,15s-fq5202TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),False,53990
Infinix,XL30,Celeron Quad Core,Windows 11 Home,128 GB,4 GB,39.62 cm (15.6 Inch),False,20990
Acer,A315-24P,Ryzen 3 Quad Core,Windows 11 Home,256 GB,8 GB,39.62 cm (15.6 Inch),False,27990
HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),False,38990
DELL,INSP 5620,Core i3,Windows 11 Home,512 GB,8 GB,40.64 cm (16 inch),True,43990
Acer,ANV15-51,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),False,64990
